,S.No.,Log File, state_accept_epoch (s), state_running_time, state_running_epoch (s),Waiting Time (in Seconds),spark_driver_start_time,Driver Memory (MB),Executor Memory (MB),Memory Store Capacity (MB),Job Result
0,1,application_1513303661803_25646_asrd.cp.big.data.services.team.log,,,,,,,,1983.0,
1,2,application_1513303661803_23926_asrd.cp.big.data.services.team.log,1513792320.0, 17/12/20 17:52:06,1513792326,6, 17/12/20 17:51:57,12288.0,6144.0,8601.6, Job completed successfully
2,3,application_1513303661803_21767_asrd.cp.big.data.services.team.log,,,,,,,,143.6,
3,4,application_1513303661803_24558_asrd.cp.big.data.services.team.log,1513814496.0, 17/12/21 00:01:41,1513814501,5, 17/12/21 00:01:33,8192.0,15360.0,5632.0, Job completed successfully
4,5,application_1513303661803_24282_asrd.cp.big.data.services.team.log,1513796697.0, 17/12/20 19:05:06,1513796706,9, 17/12/20 19:04:52,12288.0,16384.0,8601.6, Job completed successfully
5,6,application_1513303661803_21050_asrd.cp.big.data.services.team.log,1513730321.0, 17/12/20 00:38:46,1513730326,5, 17/12/20 00:38:37,2048.0,10240.0,1247.6, Job completed successfully
6,7,application_1513303661803_19757_asrd.cp.big.data.services.team.log,,,,,,,,7168.0,
7,8,application_1513303661803_23378_asrd.cp.big.data.services.team.log,1513786280.0, 17/12/20 16:11:25,1513786285,5, 17/12/20 16:11:17,12288.0,10240.0,8601.6, Job completed successfully
8,9,application_1513303661803_23553_asrd.cp.big.data.services.team.log,1513787826.0, 17/12/20 16:37:11,1513787831,5, 17/12/20 16:37:03,12288.0,6144.0,8601.6, Job completed successfully
9,10,application_1513303661803_25231_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
10,11,application_1513303661803_23835_asrd.cp.big.data.services.team.log,,,,,,,,7168.0,
11,12,application_1513303661803_21508_asrd.cp.big.data.services.team.log,,,,,,,,511.5,
12,13,application_1513303661803_22336_asrd.cp.big.data.services.team.log,1513752875.0, 17/12/20 06:54:40,1513752880,5, 17/12/20 06:54:31,15360.0,10240.0,10854.4, Job completed successfully
13,14,application_1513303661803_26743_asrd.cp.big.data.services.team.log,1513901342.0, 17/12/22 00:09:39,1513901379,37, 17/12/22 00:08:42,12288.0,6144.0,8601.6, Job completed successfully
14,15,application_1513303661803_28267_asrd.cp.big.data.services.team.log,,,,,,,,,
15,16,application_1513303661803_24239_asrd.cp.big.data.services.team.log,,,,,,,,,
16,17,application_1513303661803_20493_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
17,18,application_1513303661803_20007_asrd.cp.big.data.services.team.log,1513698756.0, 17/12/19 15:52:41,1513698761,5, 17/12/19 15:52:33,12288.0,10240.0,8601.6, Job completed successfully
18,19,application_1513303661803_20778_asrd.cp.big.data.services.team.log,,,,,,,,,
19,20,application_1513303661803_22727_asrd.cp.big.data.services.team.log,1513769226.0, 17/12/20 11:27:12,1513769232,6, 17/12/20 11:27:02,12288.0,10240.0,8601.6, Job completed successfully
20,21,application_1513303661803_19452_asrd.cp.big.data.services.team.log,,,,,,,,5632.0,
21,22,application_1513303661803_24689_asrd.cp.big.data.services.team.log,1513815406.0, 17/12/21 00:16:57,1513815417,11, 17/12/21 00:16:41,12288.0,6144.0,8601.6, Job completed successfully
22,23,application_1513303661803_19784_asrd.cp.big.data.services.team.log,1513692972.0, 17/12/19 14:17:14,1513693034,62, 17/12/19 14:15:58,20480.0,10240.0,14540.8, Job completed successfully
23,24,application_1513303661803_22577_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
24,25,application_1513303661803_18724_asrd.cp.big.data.services.team.log,1513646824.0, 17/12/19 01:30:47,1513647047,223, 17/12/19 01:26:59,20480.0,20480.0,14540.8, Job completed successfully
25,26,application_1513303661803_26077_asrd.cp.big.data.services.team.log,,,,,,,,2764.8,
26,27,application_1513303661803_21034_asrd.cp.big.data.services.team.log,,,,,,,,2764.8,
27,28,application_1513303661803_19685_asrd.cp.big.data.services.team.log,1513689087.0, 17/12/19 13:11:32,1513689092,5, 17/12/19 13:11:23,12288.0,10240.0,8601.6, Job failed
28,29,application_1513303661803_22543_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
29,30,application_1513303661803_23724_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
30,31,application_1513303661803_22190_asrd.cp.big.data.services.team.log,1513750728.0, 17/12/20 06:18:53,1513750733,5, 17/12/20 06:18:46,12288.0,6144.0,8601.6, Job completed successfully
31,32,application_1513303661803_25727_asrd.cp.big.data.services.team.log,,,,,,,,143.6,
32,33,application_1513303661803_23529_asrd.cp.big.data.services.team.log,1513787414.0, 17/12/20 16:30:20,1513787420,6, 17/12/20 16:30:11,12288.0,6144.0,8601.6, Job completed successfully
33,34,application_1513303661803_24873_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
34,35,application_1513303661803_24029_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
35,36,application_1513303661803_20359_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
36,37,application_1513303661803_24056_asrd.cp.big.data.services.team.log,1513793699.0, 17/12/20 18:15:05,1513793705,6, 17/12/20 18:14:56,12288.0,6144.0,8601.6, Job completed successfully
37,38,application_1513303661803_18992_asrd.cp.big.data.services.team.log,1513651161.0, 17/12/19 02:39:27,1513651167,6, 17/12/19 02:39:17,12288.0,10240.0,8601.6, Job completed successfully
38,39,application_1513303661803_22851_asrd.cp.big.data.services.team.log,1513778467.0, 17/12/20 14:01:12,1513778472,5, 17/12/20 14:00:58,512.0,512.0,143.6, Job completed successfully
39,40,application_1513303661803_24077_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
40,41,application_1513303661803_24037_asrd.cp.big.data.services.team.log,,,,,,,,2764.8,
41,42,application_1513303661803_22070_asrd.cp.big.data.services.team.log,1513749511.0, 17/12/20 05:58:36,1513749516,5, 17/12/20 05:58:27,12288.0,6144.0,8601.6, Job completed successfully
42,43,application_1513303661803_18982_asrd.cp.big.data.services.team.log,,,,,,,,7168.0,
43,44,application_1513303661803_22181_asrd.cp.big.data.services.team.log,,,,,,,,7168.0,
44,45,application_1513303661803_19045_asrd.cp.big.data.services.team.log,1513652536.0, 17/12/19 03:02:20,1513652540,4, 17/12/19 03:02:12,20480.0,10240.0,14540.8, Job failed
45,46,application_1513303661803_25535_asrd.cp.big.data.services.team.log,,,,,,,,2764.8,
46,47,application_1513303661803_25698_asrd.cp.big.data.services.team.log,1513839980.0, 17/12/21 07:06:25,1513839985,5, 17/12/21 07:06:16,12288.0,6144.0,8601.6, Job completed successfully
47,48,application_1513303661803_19731_asrd.cp.big.data.services.team.log,,,,,,,,511.5,
48,49,application_1513303661803_21371_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
49,50,application_1513303661803_18601_asrd.cp.big.data.services.team.log,,,,,,,,,
50,51,application_1513303661803_18883_asrd.cp.big.data.services.team.log,1513649811.0, 17/12/19 02:16:59,1513649819,8, 17/12/19 02:16:45,15360.0,12288.0,10854.4, Job completed successfully
51,52,application_1513303661803_21441_asrd.cp.big.data.services.team.log,,,,,,,,7168.0,
52,53,application_1513303661803_20082_asrd.cp.big.data.services.team.log,1513700684.0, 17/12/19 16:24:49,1513700689,5, 17/12/19 16:24:41,12288.0,6144.0,8601.6, Job completed successfully
53,54,application_1513303661803_19574_asrd.cp.big.data.services.team.log,,,,,,,,143.6,
54,55,application_1513303661803_20166_asrd.cp.big.data.services.team.log,1513702790.0, 17/12/19 16:59:55,1513702795,5, 17/12/19 16:59:46,12288.0,6144.0,8601.6, Job completed successfully
55,56,application_1513303661803_23605_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
56,57,application_1513303661803_23332_asrd.cp.big.data.services.team.log,1513786032.0, 17/12/20 16:07:22,1513786042,10, 17/12/20 16:07:08,12288.0,6144.0,8601.6, Job completed successfully
57,58,application_1513303661803_25796_asrd.cp.big.data.services.team.log,1513847058.0, 17/12/21 09:04:23,1513847063,5, 17/12/21 09:04:13,12288.0,6144.0,8601.6, Job completed successfully
58,59,application_1513303661803_23991_asrd.cp.big.data.services.team.log,1513792895.0, 17/12/20 18:01:40,1513792900,5, 17/12/20 18:01:33,12288.0,6144.0,8601.6, Job completed successfully
59,60,application_1513303661803_19578_asrd.cp.big.data.services.team.log,,,,,,,,143.6,
60,61,application_1513303661803_23496_asrd.cp.big.data.services.team.log,,,,,,,,4198.4,
61,62,application_1513303661803_23443_asrd.cp.big.data.services.team.log,1513786570.0, 17/12/20 16:16:15,1513786575,5, 17/12/20 16:16:07,12288.0,10240.0,8601.6, Job completed successfully
62,63,application_1513303661803_23765_asrd.cp.big.data.services.team.log,1513790162.0, 17/12/20 17:16:07,1513790167,5, 17/12/20 17:15:57,15360.0,8192.0,10854.4, Job completed successfully
63,64,application_1513303661803_20785_asrd.cp.big.data.services.team.log,,,,,,,,143.6,
64,65,application_1513303661803_21822_asrd.cp.big.data.services.team.log,1513744114.0, 17/12/20 04:28:40,1513744120,6, 17/12/20 04:28:30,20480.0,10240.0,14540.8, Job completed successfully
65,66,application_1513303661803_21199_asrd.cp.big.data.services.team.log,1513731716.0, 17/12/20 01:02:01,1513731721,5, 17/12/20 01:01:52,512.0,512.0,143.6, Job completed successfully
66,67,application_1513303661803_25212_asrd.cp.big.data.services.team.log,1513822709.0, 17/12/21 02:18:40,1513822720,11, 17/12/21 02:18:25,12288.0,6144.0,8601.6, Job completed successfully
67,68,application_1513303661803_20258_asrd.cp.big.data.services.team.log,1513704747.0, 17/12/19 17:32:32,1513704752,5, 17/12/19 17:32:23,2048.0,10240.0,1247.6, Job completed successfully
68,69,application_1513303661803_21812_asrd.cp.big.data.services.team.log,1513743598.0, 17/12/20 04:20:06,1513743606,8, 17/12/20 04:19:52,12288.0,1024.0,8601.6, Job completed successfully
69,70,application_1513303661803_19559_asrd.cp.big.data.services.team.log,1513677648.0, 17/12/19 10:00:53,1513677653,5, 17/12/19 10:00:45,512.0,512.0,143.6, Job completed successfully
70,71,application_1513303661803_22371_asrd.cp.big.data.services.team.log,1513753284.0, 17/12/20 07:01:30,1513753290,6, 17/12/20 07:01:18,512.0,512.0,143.6, Job completed successfully
71,72,application_1513303661803_18544_asrd.cp.big.data.services.team.log,,,,,,,,511.5,
72,73,application_1513303661803_19241_asrd.cp.big.data.services.team.log,,,,,,,,2764.8,
73,74,application_1513303661803_26208_asrd.cp.big.data.services.team.log,1513871287.0, 17/12/21 15:48:16,1513871296,9, 17/12/21 15:48:00,12288.0,1024.0,8601.6, Job completed successfully
74,75,application_1513303661803_24431_sai.medikonda.log,,,,,,,,4198.4,
75,76,application_1513303661803_20217_asrd.cp.big.data.services.team.log,,,,,,,,2764.8,
